Timestamp,Prediction
1727679329.773126,NormalSleep
1727679339.780083,NormalSleep
1727679349.787325,NormalSleep
1727679359.795403,NormalSleep
1727679369.8030531,NormalSleep
1727679379.809471,NormalSleep
1727679389.8169658,NormalSleep
1727679399.824759,NormalSleep
1727679409.831306,NormalSleep
1727679419.83807,NormalSleep
1727679429.84572,NormalSleep
1727679439.8537831,NormalSleep
1727679449.860215,NormalSleep
1727679459.867608,NormalSleep
1727679469.875346,NormalSleep
1727679479.883018,NormalSleep
1727679489.889536,NormalSleep
1727679499.897171,NormalSleep
1727679509.90492,NormalSleep
1727679519.912483,NormalSleep
1727679529.9204412,NormalSleep
1727679539.928148,NormalSleep
1727679549.936162,NormalSleep
1727679559.9426181,NormalSleep
1727679569.950218,NormalSleep
1727679579.956718,NormalSleep
1727679589.963197,NormalSleep
1727679599.970985,NormalSleep
1727679609.9774022,NormalSleep
1727679619.9847791,NormalSleep
1727679629.992568,NormalSleep
1727679640.000191,ObstructiveApnea
1727679650.00793,ObstructiveApnea
1727679660.014532,ObstructiveApnea
1727679670.0223858,NormalSleep
1727679680.029033,NormalSleep
1727679690.0357308,NormalSleep
1727679700.04197,NormalSleep
1727679710.049582,NormalSleep
1727679720.057297,NormalSleep
1727679730.064884,NormalSleep
1727679740.0725608,NormalSleep
1727679750.0790331,NormalSleep
1727679760.086335,NormalSleep
1727679770.093842,NormalSleep
1727679780.10127,NormalSleep
1727679790.1089878,NormalSleep
1727679800.1165068,NormalSleep
1727679810.124152,NormalSleep
1727679820.1305048,NormalSleep
1727679830.1382499,NormalSleep
1727679840.145901,NormalSleep
1727679850.152558,NormalSleep
1727679860.1600761,NormalSleep
1727679870.167532,NormalSleep
1727679880.174251,NormalSleep
1727679890.18183,NormalSleep
1727679900.189565,NormalSleep
1727679910.1962922,NormalSleep
1727679920.203029,NormalSleep
1727679930.210561,NormalSleep
1727679940.2180119,NormalSleep
1727679950.225756,NormalSleep
1727679960.2322052,NormalSleep
1727679970.239213,NormalSleep
1727679980.245547,NormalSleep
1727679990.252434,NormalSleep
1727680000.258689,NormalSleep
1727680010.26627,NormalSleep
1727680020.272892,NormalSleep
1727680030.2805262,NormalSleep
1727680040.287182,NormalSleep
1727680050.294801,NormalSleep
1727680060.301636,NormalSleep
1727680070.319329,NormalSleep
1727680080.330709,NormalSleep
1727680090.339468,NormalSleep
1727680100.346339,NormalSleep
1727680110.35417,NormalSleep
1727680120.362012,NormalSleep
1727680130.37045,NormalSleep
1727680140.378082,NormalSleep
1727680150.386057,NormalSleep
1727680160.392713,NormalSleep
1727680170.399893,NormalSleep
1727680180.4064,NormalSleep
1727680190.413047,NormalSleep
1727680200.419671,NormalSleep
1727680210.427286,NormalSleep
1727680220.4347389,NormalSleep
1727680230.441194,NormalSleep
1727680240.448861,NormalSleep
1727680250.456589,NormalSleep
1727680260.464192,NormalSleep
1727680270.471057,NormalSleep
1727680280.47874,NormalSleep
1727680290.487396,NormalSleep
1727680300.494294,NormalSleep
1727680310.502344,NormalSleep
1727680320.50876,NormalSleep
1727680330.5150988,NormalSleep
1727680340.522926,ObstructiveApnea
1727680350.52943,NormalSleep
1727680360.537405,NormalSleep
1727680370.5452878,NormalSleep
1727680380.553306,NormalSleep
1727680390.56086,NormalSleep
1727680400.568243,NormalSleep
1727680410.576154,NormalSleep
1727680420.582765,NormalSleep
1727680430.590431,NormalSleep
1727680440.5980248,NormalSleep
1727680450.605792,NormalSleep
1727680460.612233,NormalSleep
1727680470.620403,NormalSleep
1727680480.627001,NormalSleep
1727680490.634366,NormalSleep
1727680500.640983,NormalSleep
1727680510.6475148,NormalSleep
1727680520.655204,NormalSleep
1727680530.6616619,NormalSleep
1727680540.6698592,NormalSleep
1727680550.6777449,NormalSleep
1727680560.6858492,NormalSleep
1727680570.693423,NormalSleep
1727680580.701005,NormalSleep
1727680590.708716,NormalSleep
1727680600.7150779,NormalSleep
1727680610.722881,NormalSleep
1727680620.730494,NormalSleep
1727680630.7382011,NormalSleep
1727680640.744895,NormalSleep
1727680650.752618,NormalSleep
1727680660.759684,NormalSleep
1727680670.767275,NormalSleep
1727680680.775009,NormalSleep
1727680690.782531,NormalSleep
1727680700.790206,NormalSleep
1727680710.7967649,NormalSleep
1727680720.804553,NormalSleep
1727680730.8121789,NormalSleep
1727680740.82047,NormalSleep
1727680750.8282292,NormalSleep
1727680760.8353019,NormalSleep
1727680770.841801,NormalSleep
1727680780.84867,NormalSleep
1727680790.856342,NormalSleep
1727680800.8640032,NormalSleep
1727680810.871742,NormalSleep
1727680820.878191,NormalSleep
1727680830.885029,NormalSleep
1727680840.8922381,NormalSleep
